Transect,Plant,Species
9,7,Astrocaryum mexicanum
9,11,Astrocaryum mexicanum
9,12,Astrocaryum mexicanum
9,13,Astrocaryum mexicanum
9,14,Astrocaryum mexicanum
9,16,Astrocaryum mexicanum
9,19,Astrocaryum mexicanum
9,24,Astrocaryum mexicanum
9,29,Astrocaryum mexicanum
9,31,Astrocaryum mexicanum
9,32,Astrocaryum mexicanum
10,1,Astrocaryum mexicanum
10,2,Astrocaryum mexicanum
10,5,Astrocaryum mexicanum
10,6,Astrocaryum mexicanum
10,7,Astrocaryum mexicanum
10,8,Astrocaryum mexicanum
10,9,Astrocaryum mexicanum
10,10,Astrocaryum mexicanum
10,11,Astrocaryum mexicanum
10,14,Astrocaryum mexicanum
10,15,Astrocaryum mexicanum
10,17,Astrocaryum mexicanum
10,18,Astrocaryum mexicanum
10,20,Astrocaryum mexicanum
10,21,Astrocaryum mexicanum
10,22,Astrocaryum mexicanum
10,24,Astrocaryum mexicanum
10,25,Astrocaryum mexicanum
10,27,Astrocaryum mexicanum
10,28,Astrocaryum mexicanum
5,17,Bactris mexicana
7,44,Bactris mexicana
8,46,Bactris mexicana
10,3,Bactris mexicana
10,12,Bactris mexicana
10,31,Bactris mexicana
5,19,Bernoullia flammea
2,6,Brosimum alicastrum
2,16,Brosimum alicastrum
2,18,Brosimum alicastrum
2,31,Brosimum alicastrum
3,9,Brosimum alicastrum
4,13,Brosimum alicastrum
7,11,Brosimum alicastrum
7,42,Brosimum alicastrum
8,2,Brosimum alicastrum
8,40,Brosimum alicastrum
5,22,Calatola laevigata
8,31,Capparis baduca
1,26,Chamaedorea alternans
3,2,Chamaedorea alternans
3,4,Chamaedorea alternans
3,5,Chamaedorea alternans
3,6,Chamaedorea alternans
6,22,Chamaedorea alternans
6,24,Chamaedorea alternans
6,25,Chamaedorea alternans
6,27,Chamaedorea alternans
7,10,Chamaedorea alternans
7,14,Chamaedorea alternans
7,18,Chamaedorea alternans
7,34,Chamaedorea alternans
8,8,Chamaedorea alternans
8,9,Chamaedorea alternans
8,32,Chamaedorea alternans
10,26,Chamaedorea alternans
7,31,Chamaedorea concolor
7,36,Chamaedorea concolor
10,29,Chamaedorea ernesti-augustii
1,15,Chamaedorea oblongata
2,4,Chamaedorea oblongata
2,8,Chamaedorea oblongata
2,9,Chamaedorea oblongata
2,17,Chamaedorea oblongata
10,4,Chamaedorea oblongata
10,19,Chamaedorea oblongata
10,30,Chamaedorea oblongata
10,33,Chamaedorea oblongata
10,34,Chamaedorea oblongata
7,13,Chamaedorea pinnatifrons
7,15,Chamaedorea pinnatifrons
7,22,Chamaedorea pinnatifrons
7,32,Chamaedorea pinnatifrons
8,17,Chamaedorea pinnatifrons
8,19,Chamaedorea pinnatifrons
8,35,Chamaedorea pinnatifrons
9,23,Chamaedorea pinnatifrons
9,27,Chamaedorea pinnatifrons
8,33,Clarisa biflora
8,11,Cojoba arborea
6,3,Combretum sp.
6,5,Combretum sp.
4,7,Cordia alliodora
4,11,Cordia megalantha
6,17,Costus scaber
1,31,Croton Schediarius
2,1,Croton Schediarius
6,6,Croton schiedianus
9,4,Cymbopetalum baillonii
9,33,Cymbopetalum baillonii
2,2,Dendropanax arboreus
5,7,Dendropanax arboreus
8,48,Dendropanax arboreus
8,51,Dendropanax arboreus
6,4,Dialium guianense
8,23,Dialium guianense
7,20,Diospiros digyna
7,25,Diospiros digyna
7,21,Eugenia mexicana
1,5,Faramea occidentalis
7,33,Faramea occidentalis
8,1,Ficus aurea
5,9,Flacocurtace ?
1,19,Fornsteronia viridescens
7,41,Guarea bijuga
6,9,Guarea bijuga
3,13,Guarea glabra
1,3,Guarea glabra
2,19,Guarea glabra
7,23,Guarea glabra
9,6,Guarea glabra
3,24,Hampea nutricia
7,35,Inga glabra
8,21,Macherium floribundum
7,9,Makania ?
8,16,Mortoniodendron guatemalense
2,25,Myriocarpa longipes
5,5,Myriocarpa longipes
8,6,Myriocarpa longipes
1,18,Nectandra ambigens
2,14,Nectandra ambigens
2,32,Nectandra ambigens
6,31,Nectandra ambigens
9,30,Nectandra ambigens
8,39,Nectandra dendrodaphne
7,30,Nectandra salicifolia
6,10,Ocotea dendrodaphne
5,20,Ouratea sp.
7,40,Piper sanctum
8,41,Pithecoctenium sp
7,26,Platimisium sp
3,18,Pleuratodendron lindenii
7,29,Pleuratodendron lindenii
9,18,Pleuratodendron lindenii
7,4,Posoqueria latifolia
2,11,Poulsenia armata
3,3,Poulsenia armata
8,15,Poulsenia armata
8,36,Poulsenia armata
8,49,Poulsenia armata
9,8,Poulsenia armata
8,5,Pouteria campechiana
8,3,Pouteria durlandii
8,42,Pouteria reticulata
8,50,Pouteria reticulata
1,4,Pouteria sapota
1,16,Pouteria sapota
1,2,Pseudolmedia oxyphyllaria
1,17,Pseudolmedia oxyphyllaria
2,13,Pseudolmedia oxyphyllaria
2,15,Pseudolmedia oxyphyllaria
2,24,Pseudolmedia oxyphyllaria
3,12,Pseudolmedia oxyphyllaria
3,20,Pseudolmedia oxyphyllaria
4,16,Pseudolmedia oxyphyllaria
5,1,Pseudolmedia oxyphyllaria
6,2,Pseudolmedia oxyphyllaria
6,15,Pseudolmedia oxyphyllaria
7,3,Pseudolmedia oxyphyllaria
8,26,Pseudolmedia oxyphyllaria
8,28,Pseudolmedia oxyphyllaria
8,34,Pseudolmedia oxyphyllaria
8,43,Pseudolmedia oxyphyllaria
9,10,Pseudolmedia oxyphyllaria
9,17,Pseudolmedia oxyphyllaria
9,21,Pseudolmedia oxyphyllaria
9,26,Pseudolmedia oxyphyllaria
10,13,Pseudolmedia oxyphyllaria
10,23,Pseudolmedia oxyphyllaria
4,8,Psychotria chiapensis
5,21,Psychotria chiapensis
7,1,Psychotria chiapensis
7,17,Psychotria chiapensis
7,19,Psychotria chiapensis
7,39,Psychotria chiapensis
9,28,Psychotria chiapensis
10,32,Psychotria chiapensis
5,2,Psychotria faxlucens
7,12,Psychotria faxlucens
7,38,Psychotria faxlucens
8,12,Psychotria faxlucens
8,13,Psychotria faxlucens
1,30,Psychotria flava
2,12,Psychotria flava
2,23,Psychotria flava
3,1,Psychotria flava
2,3,Psychotria limonensis
1,6,Psychotria papantlensis
1,7,Psychotria papantlensis
1,8,Psychotria papantlensis
8,4,Psychotria papantlensis
8,44,Psychotria sp
5,8,Psychotria sp.
7,16,Psychotria veracruzensis
8,37,Pterocarpus rohrii
1,28,Quararibea funebris
2,22,Quararibea funebris
6,1,Quararibea funebris
7,5,Quararibea guatemalteca
7,28,Randia sp
1,11,Rheedia edulis
4,17,Rheedia edulis
4,18,Rheedia edulis
5,4,Rheedia edulis
9,9,Rheedia edulis
1,27,Salacia megistophylla
5,11,Salacia megistophylla
9,20,Salacia megistophylla
9,22,Salacia megistophylla
9,25,Salacia megistophylla
1,22,Stemadenia donnell-smitthii
8,29,Tetracera volubilis
7,8,Trichilia martiana
8,45,Trichilia martiana
1,12,Trophis mexicana
2,33,Trophis mexicana
5,18,Trophis mexicana
6,16,Trophis mexicana
2,21,Trophis racemosa
9,15,Trophis racemosa
