Transect,Plant,Species,LIANA,LARGE TREE,TREE
2,31,Brosimum alicastrum,0,0,0
3,9,Brosimum alicastrum,0,0,0
4,13,Brosimum alicastrum,0,0,0
7,11,Brosimum alicastrum,0,0,0
7,42,Brosimum alicastrum,0,0,0
8,2,Brosimum alicastrum,0,0,0
8,40,Brosimum alicastrum,0,0,0
5,22,Calatola laevigata,0,0,0
8,31,Capparis baduca,0,0,0
1,26,Chamaedorea alternans,0,0,0
3,2,Chamaedorea alternans,0,0,0
3,4,Chamaedorea alternans,0,0,0
3,5,Chamaedorea alternans,0,0,0
3,6,Chamaedorea alternans,0,0,0
6,22,Chamaedorea alternans,0,0,0
6,24,Chamaedorea alternans,0,0,0
6,25,Chamaedorea alternans,0,0,0
6,27,Chamaedorea alternans,0,0,0
7,10,Chamaedorea alternans,0,0,0
7,14,Chamaedorea alternans,0,0,0
7,18,Chamaedorea alternans,0,0,0
7,34,Chamaedorea alternans,0,0,0
8,8,Chamaedorea alternans,0,0,0
8,9,Chamaedorea alternans,0,0,0
8,32,Chamaedorea alternans,0,0,0
10,26,Chamaedorea alternans,0,0,0
7,31,Chamaedorea concolor,0,0,0
7,36,Chamaedorea concolor,0,0,0
10,29,Chamaedorea ernesti-augustii,0,0,0
1,15,Chamaedorea oblongata,0,0,0
2,4,Chamaedorea oblongata,0,0,0
2,8,Chamaedorea oblongata,0,0,0
2,9,Chamaedorea oblongata,0,0,0
2,17,Chamaedorea oblongata,0,0,0
10,4,Chamaedorea oblongata,0,0,0
10,19,Chamaedorea oblongata,0,0,0
10,30,Chamaedorea oblongata,0,0,0
10,33,Chamaedorea oblongata,0,0,0
10,34,Chamaedorea oblongata,0,0,0
7,13,Chamaedorea pinnatifrons,0,0,0
7,15,Chamaedorea pinnatifrons,0,0,0
7,22,Chamaedorea pinnatifrons,0,0,0
7,32,Chamaedorea pinnatifrons,0,0,0
8,17,Chamaedorea pinnatifrons,0,0,0
8,19,Chamaedorea pinnatifrons,0,0,0
8,35,Chamaedorea pinnatifrons,0,0,0
9,23,Chamaedorea pinnatifrons,0,0,0
9,27,Chamaedorea pinnatifrons,0,0,0
8,33,Clarisa biflora,0,0,0
8,11,Cojoba arborea,0,0,0
6,3,Combretum sp.,0,0,0
6,5,Combretum sp.,0,0,0
4,7,Cordia alliodora,0,0,0
4,11,Cordia megalantha,0,0,0
6,17,Costus scaber,0,0,0
1,31,Croton Schediarius,0,0,0
2,1,Croton Schediarius,0,0,0
6,6,Croton schiedianus,0,0,0
9,4,Cymbopetalum baillonii,0,0,0
9,33,Cymbopetalum baillonii,0,0,0
2,2,Dendropanax arboreus,0,0,0
5,7,Dendropanax arboreus,0,0,0
8,48,Dendropanax arboreus,0,0,0
8,51,Dendropanax arboreus,0,0,0
6,4,Dialium guianense,0,0,0
8,23,Dialium guianense,0,0,0
7,20,Diospiros digyna,0,0,0
7,25,Diospiros digyna,0,0,0
7,21,Eugenia mexicana,0,0,0
1,5,Faramea occidentalis,0,0,0
7,33,Faramea occidentalis,0,0,0
8,1,Ficus aurea,0,0,0
5,9,Flacocurtace ?,0,0,0
1,19,Fornsteronia viridescens,0,0,0
7,41,Guarea bijuga,0,0,0
6,9,Guarea bijuga,0,0,0
3,13,Guarea glabra,0,0,0
1,3,Guarea glabra,0,0,0
2,19,Guarea glabra,0,0,0
7,23,Guarea glabra,0,0,0
9,6,Guarea glabra,0,0,0
3,24,Hampea nutricia,0,0,0
7,35,Inga glabra,0,0,0
8,21,Macherium floribundum,0,0,0
7,9,Makania ?,0,0,0
8,16,Mortoniodendron guatemalense,0,0,0
2,25,Myriocarpa longipes,0,0,0
5,5,Myriocarpa longipes,0,0,0
8,6,Myriocarpa longipes,0,0,0
1,18,Nectandra ambigens,0,0,0
2,14,Nectandra ambigens,0,0,0
2,32,Nectandra ambigens,0,0,0
6,31,Nectandra ambigens,0,0,0
9,30,Nectandra ambigens,0,0,0
8,39,Nectandra dendrodaphne,0,0,0
7,30,Nectandra salicifolia,0,0,0
6,10,Ocotea dendrodaphne,0,0,0
5,20,Ouratea sp.,0,0,0
7,40,Piper sanctum,0,0,0
8,41,Pithecoctenium sp,0,0,0
7,26,Platimisium sp,0,0,0
3,18,Pleuratodendron lindenii,0,0,0
7,29,Pleuratodendron lindenii,0,0,0
9,18,Pleuratodendron lindenii,0,0,0
7,4,Posoqueria latifolia,0,0,0
2,11,Poulsenia armata,0,0,0
3,3,Poulsenia armata,0,0,0
8,15,Poulsenia armata,0,0,0
8,36,Poulsenia armata,0,0,0
8,49,Poulsenia armata,0,0,0
9,8,Poulsenia armata,0,0,0
8,5,Pouteria campechiana,0,0,0
8,3,Pouteria durlandii,0,0,0
8,42,Pouteria reticulata,0,0,0
8,50,Pouteria reticulata,0,0,0
1,4,Pouteria sapota,0,0,0
1,16,Pouteria sapota,0,0,0
1,2,Pseudolmedia oxyphyllaria,0,0,0
1,17,Pseudolmedia oxyphyllaria,0,0,0
2,13,Pseudolmedia oxyphyllaria,0,0,0
2,15,Pseudolmedia oxyphyllaria,0,0,0
2,24,Pseudolmedia oxyphyllaria,0,0,0
3,12,Pseudolmedia oxyphyllaria,0,0,0
3,20,Pseudolmedia oxyphyllaria,0,0,0
4,16,Pseudolmedia oxyphyllaria,0,0,0
5,1,Pseudolmedia oxyphyllaria,0,0,0
6,2,Pseudolmedia oxyphyllaria,0,0,0
6,15,Pseudolmedia oxyphyllaria,0,0,0
7,3,Pseudolmedia oxyphyllaria,0,0,0
8,26,Pseudolmedia oxyphyllaria,0,0,0
8,28,Pseudolmedia oxyphyllaria,0,0,0
8,34,Pseudolmedia oxyphyllaria,0,0,0
8,43,Pseudolmedia oxyphyllaria,0,0,0
9,10,Pseudolmedia oxyphyllaria,0,0,0
9,17,Pseudolmedia oxyphyllaria,0,0,0
9,21,Pseudolmedia oxyphyllaria,0,0,0
9,26,Pseudolmedia oxyphyllaria,0,0,0
10,13,Pseudolmedia oxyphyllaria,0,0,0
10,23,Pseudolmedia oxyphyllaria,0,0,0
4,8,Psychotria chiapensis,0,0,0
5,21,Psychotria chiapensis,0,0,0
7,1,Psychotria chiapensis,0,0,0
7,17,Psychotria chiapensis,0,0,0
7,19,Psychotria chiapensis,0,0,0
7,39,Psychotria chiapensis,0,0,0
9,28,Psychotria chiapensis,0,0,0
10,32,Psychotria chiapensis,0,0,0
5,2,Psychotria faxlucens,0,0,0
7,12,Psychotria faxlucens,0,0,0
7,38,Psychotria faxlucens,0,0,0
8,12,Psychotria faxlucens,0,0,0
8,13,Psychotria faxlucens,0,0,0
1,30,Psychotria flava,0,0,0
2,12,Psychotria flava,0,0,0
2,23,Psychotria flava,0,0,0
3,1,Psychotria flava,0,0,0
2,3,Psychotria limonensis,0,0,0
1,6,Psychotria papantlensis,0,0,0
1,7,Psychotria papantlensis,0,0,0
1,8,Psychotria papantlensis,0,0,0
8,4,Psychotria papantlensis,0,0,0
8,44,Psychotria sp,0,0,0
5,8,Psychotria sp.,0,0,0
7,16,Psychotria veracruzensis,0,0,0
8,37,Pterocarpus rohrii,0,0,0
1,28,Quararibea funebris,0,0,0
2,22,Quararibea funebris,0,0,0
6,1,Quararibea funebris,0,0,0
7,5,Quararibea guatemalteca,0,0,0
7,28,Randia sp,0,0,0
1,11,Rheedia edulis,0,0,0
4,17,Rheedia edulis,0,0,0
4,18,Rheedia edulis,0,0,0
5,4,Rheedia edulis,0,0,0
9,9,Rheedia edulis,0,0,0
1,27,Salacia megistophylla,0,0,0
5,11,Salacia megistophylla,0,0,0
9,20,Salacia megistophylla,0,0,0
9,22,Salacia megistophylla,0,0,0
9,25,Salacia megistophylla,0,0,0
1,22,Stemadenia donnell-smitthii,0,0,0
8,29,Tetracera volubilis,0,0,0
7,8,Trichilia martiana,0,0,0
8,45,Trichilia martiana,0,0,0
1,12,Trophis mexicana,0,0,0
2,33,Trophis mexicana,0,0,0
5,18,Trophis mexicana,0,0,0
6,16,Trophis mexicana,0,0,0
2,21,Trophis racemosa,0,0,0
9,15,Trophis racemosa,0,0,0
